업소명,업태,주소,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
보다더 풀빌라 리비 9(VODATHE POOLVILLA-LIVI 09),숙박업(생활),전북특별자치도 고창군 부안면 복분자로 513,35.5086453,126.6442735,35.5088148,126.6441955,20
보다더 풀빌라 준 8(VODATHE POOLVILLA-JUN 08),숙박업(생활),전북특별자치도 고창군 부안면 복분자로 513,35.5086453,126.6442735,35.5088148,126.6441955,20
보다더펜션 가람(1동),숙박업(생활),"전북특별자치도 고창군 부안면 복분자로 513, 국민여가캠핑장",35.5086453,126.6442735,35.5088148,126.6441955,20
보다더펜션 늘봄(2동),숙박업(생활),"전북특별자치도 고창군 부안면 복분자로 513, 국민여가캠핑장",35.5086453,126.6442735,35.5088148,126.6441955,20
보다더펜션 도담(3동),숙박업(생활),"전북특별자치도 고창군 부안면 복분자로 513, 국민여가캠핑장",35.5086453,126.6442735,35.5088148,126.6441955,20
보다더펜션 라온(4동),숙박업(생활),"전북특별자치도 고창군 부안면 복분자로 513, 국민여가캠핑장",35.5086453,126.6442735,35.5088148,126.6441955,20
호텔객사,숙박업 기타,전북특별자치도 전주시 완산구 충경로 49-3 (중앙동3가),35.8183628,127.1444428,35.8181848,127.1444809,20
원탑호텔,숙박업 기타,전북특별자치도 부안군 부안읍 수정길 20,35.7251217,126.7355571,35.7249419,126.7355423,20
엘핀키즈풀빌라,숙박업 기타,"전북특별자치도 완주군 상관면 상관소양로 487, 1~2동 1~2층",35.7990027,127.2398997,35.7991718,127.2398259,20
에덴파크여관,여관업,"전북특별자치도 고창군 성내면 선운대로 3968, 에덴파크",35.5294006,126.7216538,35.5292215,126.7216443,20
골드모텔,여관업,전북특별자치도 순창군 순창읍 대동로 76,35.3686599,127.1489730,35.3686984,127.1491866,20
트윈스A,여관업,전북특별자치도 익산시 인북로6길 9 (인화동1가),35.9309393,126.9508487,35.9309012,126.9510636,20
필방 오피스텔,숙박업(생활),전북특별자치도 익산시 중앙로 12-185 (중앙동2가),35.9380981,126.9483804,35.9380027,126.9481953,20
G펜션,숙박업(생활),전북특별자치도 부안군 변산면 격포로 144,35.6287823,126.4740465,35.6289174,126.4739051,20
와이케이호텔,여관업,전북특별자치도 전주시 덕진구 명륜5길 10-2 (덕진동1가),35.8432943,127.1256509,35.8431619,127.1255064,20
리베라모텔,여관업,전북특별자치도 무주군 적상면 치마재로 8,35.9191125,127.6804892,35.9191735,127.6802845,20
엄지모텔,여관업,전북특별자치도 김제시 금구면 봉두로 49,35.7744360,127.0072152,35.7745939,127.0071193,20
벧엘펜션,여관업,전북특별자치도 무주군 설천면 구천동로 1059,35.9073548,127.7602411,35.9075062,127.7601322,19
선유펜션,숙박업(생활),전북특별자치도 군산시 옥도면 선유북길 125-1,35.8141058,126.4100629,35.8139325,126.4100832,19
해조음,여관업,전북특별자치도 부안군 변산면 성천길 13,35.6546158,126.5001856,35.6545407,126.4999951,19
홍삼빌,여관업,"전북특별자치도 진안군 진안읍 외사양길 16-14, 홍삼빌",35.7766769,127.4167121,35.7768368,127.4167891,19
장수도깨비 한옥&글램핑,숙박업(생활),"전북특별자치도 장수군 장계면 논개생가길 31-13, 의암주논개생가지",35.6779575,127.6214979,35.6778936,127.6216940,19
