업소명,주소,제조구분,업태,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
(주)한솔케미칼(익산공장),전북특별자치도 익산시 삼기면 산단오룡길 126-25,일반,제조,36.0396324,126.9894442,36.0411278,126.9894837,166
정읍 수소충전소,"전북특별자치도 정읍시 황토현로 1213-15, 정읍시농산물도매시장 (농소동)",충전,제조,35.5889986,126.8460519,35.5895647,126.8477115,163
도레이첨단소재(주)군산공장,전북특별자치도 군산시 새만금북로 90 (오식도동),일반,제조,35.9417734,126.5461237,35.9404260,126.5468070,162
(주)아쿠아넷,전북특별자치도 고창군 심원면 애향갯벌로 431-56,,저장소,35.5300492,126.5303038,35.5297603,126.5285734,160
(주)농협목우촌 생산영업본부 김제육가공공장,전북특별자치도 김제시 금산면 구성길 630,냉동,제조,35.7535396,127.0041213,35.7530624,127.0057896,160
(주)농협목우촌 생산영업본부 김제육가공공장,전북특별자치도 김제시 금산면 구성길 630,냉동,제조,35.7535396,127.0041213,35.7530624,127.0057896,160
(주)농협목우촌 김제육가공공장,전북특별자치도 김제시 금산면 구성길 630,냉동,제조,35.7535396,127.0041213,35.7530624,127.0057896,160
(주)오리온,"전북특별자치도 익산시 서동로23길 11, 오리온익산공장 (신흥동)",냉동,제조,35.9418357,126.9734399,35.9408084,126.9746325,157
아데카코리아(주) 전주제2공장,전북특별자치도 완주군 봉동읍 완주산단7로 20,냉동,제조,35.9546721,127.1198768,35.9551208,127.1215237,156
현대종합금속(주)고창공장,전북특별자치도 고창군 흥덕면 선운대로 3663 (현대종합금속(주) 고창공장),,저장소,35.5191332,126.6905523,35.5177273,126.6905926,156
(주)천보비엘에스,전북특별자치도 군산시 새만금산단2로 304 (오식도동),,저장소,35.9393489,126.5741097,35.9379540,126.5740722,155
주식회사 천보비엘에스,전북특별자치도 군산시 새만금산단2로 304 (오식도동),냉동,제조,35.9393489,126.5741097,35.9379540,126.5740722,155
전북특별자치도청,"전북특별자치도 전주시 완산구 효자로 225, 전북특별자치도청 (효자동3가)",냉동,제조,35.8200707,127.1091227,35.8192877,127.1105253,154
주식회사 에스비씨엔에스,"전북특별자치도 군산시 군산산단로 14, 주식회사 에스비씨엔에스 (오식도동)",,저장소,35.9448722,126.5439509,35.9444450,126.5423721,150
CJ웰케어 진안공장,전북특별자치도 진안군 진안읍 홍삼한방로 21-23,냉동,제조,35.7727464,127.4365889,35.7725864,127.4349396,150
씨제이제일제당 진안공장,전북특별자치도 진안군 진안읍 홍삼한방로 21-23,특정,제조,35.7727464,127.4365889,35.7725864,127.4349396,150
성신비에스티(주),전북특별자치도 진안군 진안읍 홍삼한방로 21-23,특정,제조,35.7727464,127.4365889,35.7725864,127.4349396,150
원광대학교(숭산기념관),"전북특별자치도 익산시 익산대로 501 (신용동,원광대학교)",냉동,제조,35.9723489,126.9516232,35.9714211,126.9527630,145
한국생산기술연구원,"전북특별자치도 김제시 백산면 지평선산단3길 119, 농기계신뢰성시험연구센터",냉동,제조,35.8489251,126.8719065,35.8488717,126.8703232,143
CJ제일제당(주)남원공장,전북특별자치도 남원시 인월면 천왕봉로 135-53,냉동,제조,35.4555003,127.6128229,35.4567226,127.6123812,142
광전자(주) 신흥공장,전북특별자치도 익산시 약촌로 133 (신흥동),냉동,제조,35.9458910,126.9747803,35.9446343,126.9746240,140
김제애농영농조합,전북특별자치도 김제시 순동2길 365 (순동),일반,저장소,35.8239365,126.9139324,35.8251896,126.9140211,140
삼양이노켐주식회사,"전북특별자치도 군산시 자유무역1길 133, 삼양이노켐주식회사 (오식도동)",냉동,제조,35.9680633,126.5414253,35.9680411,126.5429448,137
삼양이노켐 주식회사,전북특별자치도 군산시 자유무역1길 133 (오식도동),냉동,제조,35.9680633,126.5414253,35.9680411,126.5429448,137
에스앤티에너지 주식회사,전북특별자치도 군산시 자유무역3길 19 (오식도동),,저장소,35.9664108,126.5500601,35.9653980,126.5509146,136
현대자동차(주),전북특별자치도 완주군 봉동읍 완주산단5로 163,충전,제조,35.9453040,127.1373019,35.9458004,127.1386862,136
대상주식회사 군산공장,"전북특별자치도 군산시 외항1길 208, ㈜대상 (소룡동)",냉동,제조,35.9755250,126.6542626,35.9749558,126.6529228,136
대상 주식회사(군산공장),"전북특별자치도 군산시 외항1길 208, ㈜대상 (소룡동)",냉동,제조,35.9755250,126.6542626,35.9749558,126.6529228,136
